Complexity,Loss,Equation
1,1082.341,"-32.858677"
5,677.1046,"((-1.9064249 * x0) + x1)"
7,277.21725,"(-4.576952 * (x0 + (-0.6240971 * x1)))"
9,241.04443,"(-4.197603 * ((x0 + 3.648639) + (-0.65373814 * x1)))"
11,241.0444,"(-4.1978235 * ((x0 + 3.3082993) + (-0.6537389 * (x1 + -0.518578))))"
14,222.71654,"((-4.197603 + sin(x1 * -0.036161184)) * ((x0 + 3.648639) + (-0.65373814 * x1)))"
17,186.64888,"((-4.197603 * ((x0 + 3.648639) + (-0.65373814 * x1))) * exp(0.33813998 * cos(x0 * 0.037150618)))"
18,185.13312,"((-4.197603 * ((x0 + 3.648639) + (-0.65373814 * x1))) * exp(exp(-1.3627809) * cos(0.037150618 * x0)))"
19,163.97931,"((-4.197603 * ((x0 + 3.648639) + (-0.65373814 * x1))) * exp(0.33813998 * cos((x1 * -0.65373814) * 0.037150618)))"
20,144.65617,"((-4.197603 * ((x0 + 3.648639) + (-0.65373814 * x1))) * exp(exp(-0.8543529) * (cos(x0 * -0.040198755) + 0.46495202)))"
