PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,n
1.5221761,0.6215138,-0.7450184,1.1626704,-0.14262573,0.36547896,-0.18401533,0.3233866,0.24996579,0.03369137,47
1.5707655,-1.2819741,-0.95971197,0.8830371,-0.079799056,0.7171539,-0.9192692,0.093060784,0.6599703,0.008626799,48
1.459104,0.6053947,-0.8999517,1.3198924,-0.1373935,1.6238452,-0.12617703,0.8032475,0.25390914,0.06876109,49
1.471383,-1.5161484,-1.0400252,0.91843534,0.20571196,1.4721762,0.054951973,-1.0272775,0.19756156,-0.2680716,50
1.2258697,0.91996974,-0.66888994,0.4459829,1.0655493,0.7874672,-0.1832076,-0.26896515,0.007689587,-0.070039734,51
1.2466073,-0.3587975,-0.8947484,-0.9061338,1.5265799,-0.057874143,-0.14701536,0.051164147,-0.44739002,0.4676843,52
1.1515057,1.0617428,-0.871178,-0.5410051,1.3677194,-0.33239907,-0.23850024,0.63765174,0.11753779,0.4560207,53
1.1488994,-0.44153807,-0.75809395,-0.9782257,0.9092899,-0.34971535,-0.090574436,0.24526118,0.6986745,-0.13093345,54
1.0403502,1.1398268,-0.72976536,-0.63462156,0.7659028,-0.0014857897,-0.30904034,0.15947518,-0.057542235,0.24099162,55
1.061827,-0.5123409,-0.5463401,-1.0628288,0.46851924,-0.22496486,-0.35391253,-0.0036051772,0.059253532,-0.2490679,56
0.9258975,1.1950364,-0.48761976,-0.8623493,0.06488933,-0.53942364,-0.93285173,-0.07847974,0.38734335,0.3404736,57
0.95358,-0.58471036,-0.42195097,-1.261753,0.08408831,0.05097753,0.13917513,-0.008776003,0.17667128,0.030657843,58
0.8568297,1.1965839,-0.28902864,-1.0137645,-0.32095084,-0.16670868,0.059647545,0.3821502,-0.91165686,0.61820954,59
0.85028666,-0.67570853,-0.36316583,-1.0035863,-0.55865526,-0.43948162,-0.24670464,-0.01386852,-0.31640255,-0.35975513,60
0.736888,1.1104758,-0.30947462,-0.36537495,-0.711573,-0.54935956,-0.64879423,-0.5674412,0.99092185,0.5529847,61
0.77117246,-0.71637344,-0.28885835,-0.558896,-0.29310793,-0.17249201,-0.14965309,-0.045696173,0.5558194,-0.30435818,62
0.64058995,1.0239663,-0.29790786,-0.28347912,-0.53525674,-0.685175,-0.4261641,-0.22714895,-0.48755163,-0.44988734,63
0.6830545,-0.8492915,-0.32024804,-0.58239466,-0.77594835,-0.7542998,0.20324366,-0.33299747,0.025311869,-0.018052926,64
0.57559294,0.94030726,-0.30729505,-0.11088391,-0.8500839,-0.3614236,-0.0635016,-0.11659426,-0.73189825,0.6141009,65
0.5732861,-0.7709676,-0.3841648,-0.5756836,-0.88167334,-0.24299708,0.6406741,-0.323654,0.25407636,0.5166194,66
0.50430274,0.93914545,-0.2204081,-0.16238272,-0.99762005,0.053563938,-0.3221928,-0.4191099,-0.6536302,0.60433227,67
0.5261017,-0.76854557,-0.20691283,-0.46443525,-1.0106789,-0.059323348,0.284211,-0.2595498,-0.025883935,-0.87266046,68
0.42665127,0.9244213,-0.29870227,0.018950433,-1.0156233,-0.10844677,-0.038246017,-0.71634835,-0.16001964,-0.2677526,69
0.44016308,-0.876197,-0.21281658,-0.2621499,-0.98646384,0.07708005,-0.5271433,-0.016674837,0.34123757,-0.38881454,70
0.33302125,0.83931476,-0.2446329,0.1488496,-0.99442875,-0.029113138,-0.65989304,-0.006857881,-0.53825563,-0.11847786,71
0.3845566,-0.8685467,-0.34787142,0.015022008,-0.9301262,-0.059256718,-0.017057247,0.20611513,0.08820479,-0.7177742,72
0.2913238,0.86446446,-0.38712457,0.31070846,-0.8803936,-0.5488447,0.17525715,0.50414026,-0.44527015,-1.0946524,73
0.3143054,-0.95133656,-0.495404,0.23530978,-0.59217066,-0.34480786,-0.31116712,0.5545498,-0.27133515,-0.2873741,74
0.20960155,0.6420605,-0.4391191,0.6854236,-0.51581395,-0.23449695,-0.3192395,-0.0628303,-0.6115332,0.16077912,75
0.25435624,-1.0156687,-0.5901756,0.50996923,-0.12617292,-0.8076143,-0.496953,0.4583455,0.42486474,-0.060433336,76
0.16301619,0.57459223,-0.59171736,0.9644221,-0.2199745,-0.21835634,0.06764889,-0.09483676,-0.5418083,0.32552144,77
0.2075712,-1.0122179,-0.8304552,0.6909037,-0.036208536,-0.4530105,-0.070533715,0.40979737,0.20825976,-0.8105107,78
0.12993681,0.5622464,-0.800348,1.1141307,0.1951128,-0.07270114,-0.49096406,0.472734,0.27797478,0.15217799,79
0.189851,-1.1287069,-0.8862386,0.9629913,0.3641176,0.36231205,-0.24273697,0.22033268,-0.25125897,0.30864504,80
0.05304148,0.42212465,-0.9300328,1.3416803,0.37262592,0.5676631,-0.037976444,-0.5763904,-0.11312105,0.22673649,81
0.08209509,-1.2570285,-0.9134051,0.8648346,1.0098528,0.3219026,0.004726508,-0.39914432,0.23043069,-0.44573706,82
-0.045948077,1.0790354,-0.8723634,-0.23073858,0.97057253,0.5303699,-0.06878777,-0.47073275,-0.9703226,-0.2537618,83
-0.054243427,-0.18299398,-0.81560993,-1.5426755,0.95361996,0.66651565,-0.03760521,-0.72783345,0.23441283,0.24480243,84
-0.11643656,1.2910105,-0.745517,-1.1605462,0.70478934,0.40309554,-0.052677486,-0.1814362,-0.647556,-0.5265653,85
-0.13287221,-0.2964344,-0.6511023,-1.4171562,0.30016664,0.3874664,-0.02251993,-0.28035566,-0.20620549,0.219711,86
-0.2029273,1.2769481,-0.5836028,-1.0957068,0.20797941,0.46423578,0.3232275,-0.71459717,-0.15624906,-0.57208544,87
-0.19435678,-0.34533137,-0.4533464,-1.3857875,-0.10072657,0.5137092,0.12515563,-0.5334644,-0.38910413,-0.4504919,88
-0.27404857,1.2373923,-0.28736636,-0.67535,-0.48243734,0.188405,0.13565764,0.2880531,-0.6522227,-0.6293522,89
-0.26878074,-0.5151023,-0.48255867,-0.92673016,-0.554251,-0.017393602,0.59535044,-0.54725754,0.47552475,-0.838652,90
-0.36682716,0.9783248,-0.30291656,-0.21751079,-0.32729203,-0.10856841,0.40230277,-0.63027143,-0.5194334,-0.34323648,91
-0.35519165,-0.6860109,-0.5079505,-0.19416898,-0.16822286,-0.282006,-0.35124487,0.020543396,0.048178166,-0.08262788,92
-0.44321743,0.9053217,-0.3455672,0.35156518,-0.16532595,-0.88305783,-0.7957406,-0.5038686,-0.10117092,-0.4341374,93
-0.4152879,-0.8581516,-0.50532776,-0.04613906,-0.0052563413,-0.51194495,-0.18420097,-0.6186618,0.5731074,0.110454835,94
