PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,zn,z,n
5.7959576,-1.0413527,-1.0127826,2.2631385,-0.017893644,0.0028305973,-0.030957084,-0.30537245,0.61111224,-0.38712436,11-23,11,23
5.8525105,-0.9746294,1.2571918,1.9152441,0.1593286,0.006489101,-0.16973077,-0.14266144,0.5836688,-0.38486725,11-24,11,24
5.707582,-1.0531738,-0.7524238,2.0878465,-0.6541481,0.41624588,0.09271327,-0.054891236,0.40307465,-0.2679726,11-25,11,25
5.7317924,-0.9902401,1.2754083,1.8010384,-0.1627784,0.1996313,0.06487869,0.046856537,0.27408913,-0.114472084,11-26,11,26
7.046219,1.5978531,-1.696518,2.7758572,-0.017151143,-0.70223653,-0.46481103,0.23633294,0.7051929,-0.04084252,12-9,12,9
7.007119,1.7119241,1.3031871,2.6509366,0.52288455,-0.9057976,-0.4509523,0.19110513,0.84993654,0.044059955,12-10,12,10
6.8069115,1.6055781,-1.0033416,2.6249413,-0.58487535,-0.31180865,-0.5694749,0.11314156,0.74502426,-0.39814216,12-11,12,11
6.801735,1.693611,1.6963911,2.3436363,-0.34445104,-0.36701366,-0.6538527,0.18601869,0.7749409,-0.49151403,12-12,12,12
6.5990825,1.5890174,-0.7340407,2.3157837,-1.1494588,0.06910882,-0.39351553,0.23601556,0.4294072,-0.21094668,12-13,12,13
6.602962,1.6735424,1.859283,1.9807385,-0.64949536,-0.03822899,-0.05869815,0.40411246,0.43639538,0.20242909,12-14,12,14
6.372767,1.5878555,-0.53599536,2.108963,-1.0659717,0.1261352,0.08189044,0.47747025,0.34407988,0.40016842,12-15,12,15
6.359771,1.6359308,1.0284077,1.845606,0.018597214,-0.3986165,-0.042338457,0.20270245,0.4800846,0.32937333,12-16,12,16
6.170093,1.5451154,-1.2128559,1.9304287,0.17123936,-0.55149806,-0.26776463,0.2537042,0.5607456,0.11006644,12-17,12,17
6.190298,1.6236124,0.7569019,1.7867128,0.896522,-0.96153563,-0.52192444,0.136947,0.5381693,-0.050858952,12-18,12,18
6.0101333,1.5459429,-1.1718657,1.9637861,0.28316116,-0.6300508,-0.417042,0.05687011,0.6140144,-0.08238694,12-19,12,19
6.0250053,1.6195936,1.0734655,1.66824,0.5169805,-0.6614747,-0.4411916,0.092607655,0.70606667,-0.12100411,12-20,12,20
5.843294,1.5288688,-1.382665,1.8152406,0.082915545,-0.5472987,-0.24239181,0.14312021,0.5214661,0.15198219,12-21,12,21
5.8909745,1.6160605,0.9240252,1.6768333,0.40938532,-0.5269792,-0.20587392,-0.00064059225,0.5358634,0.09093628,12-22,12,22
5.7126627,1.5371819,-1.1122726,1.7611746,-0.21257815,-0.23131469,-0.35066202,-0.07848985,0.5472838,-0.2883224,12-23,12,23
5.7692165,1.603905,1.1577022,1.4132799,-0.035355918,-0.22765623,-0.48943567,0.08422115,0.51984036,-0.2860654,12-24,12,24
5.6242876,1.5253607,-0.85191345,1.5858823,-0.84883267,0.18210058,-0.22699164,0.17199133,0.3392462,-0.16917062,12-25,12,25
5.648498,1.5882945,1.1759186,1.2990742,-0.35746297,-0.034513913,-0.25482625,0.27373904,0.21026072,-0.015670173,12-26,12,26
5.506474,1.529743,-0.77556556,1.3342913,-1.0635613,0.3649628,-0.049283907,0.4047467,0.08452979,0.09390474,12-27,12,27
5.5464993,1.5954864,1.518997,1.0525588,-0.8320993,0.30378827,0.06938984,0.44671822,-0.1411752,0.35419083,12-28,12,28
6.8883777,-1.2050251,-1.5911697,2.7295146,-0.10524093,-0.63164884,-0.39816785,0.7663281,1.245763,0.0996283,13-9,13,9
6.849278,-1.0909543,1.4085356,2.6045942,0.4347948,-0.8352096,-0.38430914,0.7211004,1.3905065,0.18453072,13-10,13,10
6.6490707,-1.1973007,-0.89799297,2.5785987,-0.67296505,-0.24122103,-0.50283176,0.64313674,1.2855942,-0.25767142,13-11,13,11
6.6438937,-1.1092671,1.8017393,2.2972941,-0.4325409,-0.29642597,-0.58720964,0.71601415,1.3155113,-0.35104343,13-12,13,12
6.4412413,-1.213861,-0.62869227,2.2694416,-1.2375486,0.13969648,-0.32687232,0.7660107,0.9699772,-0.07047599,13-13,13,13
6.445122,-1.1293365,1.9646316,1.9343965,-0.73758525,0.03235876,0.007945031,0.9341077,0.97696555,0.34289977,13-14,13,14
6.2149262,-1.2150232,-0.43064678,2.0626202,-1.1540616,0.19672295,0.14853361,1.0074655,0.88464993,0.54063886,13-15,13,15
6.201929,-1.1669478,1.1337565,1.7992634,-0.06949259,-0.32802886,0.02430471,0.73269767,1.0206546,0.46984422,13-16,13,16
6.012252,-1.2577637,-1.1075072,1.8840861,0.08314944,-0.4809103,-0.20112151,0.7836992,1.1013157,0.2505371,13-17,13,17
6.0324574,-1.1792665,0.8622503,1.7403703,0.8084323,-0.890948,-0.4552812,0.66694206,1.0787392,0.089611955,13-18,13,18
5.852292,-1.256936,-1.066517,1.9174433,0.19507131,-0.55946296,-0.3503989,0.58686525,1.1545845,0.058083735,13-19,13,19
5.867163,-1.1832851,1.1788138,1.6218972,0.4288907,-0.5908869,-0.37454838,0.6226029,1.2466366,0.019466553,13-20,13,20
5.685453,-1.2740098,-1.2773165,1.7688978,-0.00517428,-0.47671112,-0.17574851,0.67311525,1.062036,0.29245284,13-21,13,21
5.733133,-1.1868181,1.0293733,1.6304908,0.3212955,-0.45639136,-0.13923071,0.5293546,1.0764335,0.23140696,13-22,13,22
5.5548215,-1.2656968,-1.0069239,1.7148323,-0.3006679,-0.160727,-0.2840188,0.45150542,1.0878538,-0.14785169,13-23,13,23
5.6113753,-1.1989738,1.2630508,1.3669373,-0.12344576,-0.15706845,-0.42279255,0.6142162,1.0604104,-0.14559466,13-24,13,24
5.466446,-1.2775183,-0.74656504,1.5395397,-0.93692243,0.25268835,-0.16034849,0.70198655,0.8798162,-0.02869997,13-25,13,25
5.4906564,-1.2145841,1.2812675,1.252732,-0.44555277,0.03607376,-0.18818298,0.8037342,0.7508309,0.12480049,13-26,13,26
5.348633,-1.273136,-0.6702169,1.2879488,-1.1516514,0.4355505,0.017359424,0.93474185,0.6250999,0.23437549,13-27,13,27
5.388658,-1.2073925,1.6243453,1.0062163,-0.92018926,0.37437603,0.13603312,0.97671336,0.39939487,0.4946616,13-28,13,28
5.1971526,-1.2980406,-0.6639164,1.1323407,-0.9972046,0.41514248,0.41489246,1.0452667,0.49433485,0.9005739,13-29,13,29
5.2063594,-1.2465485,0.8454885,1.0229608,-0.06342163,-0.09483179,0.5686485,0.91655606,0.39639896,1.318381,13-30,13,30
6.761357,1.6464069,-1.7053525,2.3707044,-0.13192213,-0.6165271,-0.5364954,0.9455968,1.2528613,0.20253365,14-9,14,9
6.7222567,1.7604777,1.2943524,2.2457843,0.40811345,-0.8200876,-0.52263653,0.900369,1.3976053,0.28743628,14-10,14,10
6.522049,1.6541317,-1.0121759,2.219789,-0.69964606,-0.22609918,-0.64115924,0.8224054,1.2926923,-0.15476596,14-11,14,11
6.5168724,1.7421653,1.6875564,1.9384831,-0.45922205,-0.28130424,-0.72553706,0.8952825,1.3226094,-0.24813807,14-12,14,12
6.3142195,1.6375709,-0.7428754,1.9106313,-1.2642295,0.15481828,-0.46519983,0.94527936,0.9770756,0.03242941,14-13,14,13
6.3180995,1.7220957,1.8504485,1.5755858,-0.76426643,0.047480613,-0.13038248,1.1133764,0.98406374,0.4458051,14-14,14,14
6.0879045,1.6364094,-0.54482996,1.7038097,-1.180743,0.21184476,0.010206239,1.1867338,0.89174837,0.6435444,14-15,14,15
6.074909,1.6844844,1.0195729,1.4404535,-0.09617372,-0.31290698,-0.11402271,0.91196626,1.027753,0.57274956,14-16,14,16
5.8852305,1.5936688,-1.2216904,1.525276,0.056468356,-0.46578842,-0.33944902,0.962968,1.108414,0.35344264,14-17,14,17
5.9054356,1.6721661,0.74806714,1.3815602,0.7817511,-0.8758261,-0.5936087,0.8462106,1.0858378,0.19251724,14-18,14,18
5.7252707,1.5944963,-1.1807003,1.558633,0.16839023,-0.54434127,-0.48872623,0.76613384,1.1616828,0.16098912,14-19,14,19
5.740143,1.6681471,1.0646305,1.2630874,0.40220973,-0.57576513,-0.51287585,0.8018713,1.2537352,0.12237204,14-20,14,20
5.5584316,1.5774223,-1.3914999,1.4100878,-0.031855438,-0.4615892,-0.31407622,0.85238403,1.0691345,0.39535832,14-21,14,21
5.606112,1.664614,0.91519064,1.2716805,0.29461443,-0.44126964,-0.27755827,0.708623,1.0835319,0.33431235,14-22,14,22
5.4278,1.5857353,-1.1211071,1.3560218,-0.3273492,-0.14560513,-0.42234626,0.630774,1.0949521,-0.044946287,14-23,14,23
5.484354,1.6524587,1.1488675,1.0081271,-0.15012687,-0.14194661,-0.56112,0.79348487,1.0675087,-0.042689223,14-24,14,24
5.3394246,1.5739142,-0.86074835,1.1807295,-0.96360356,0.26781014,-0.29867586,0.8812551,0.8869145,0.07420544,14-25,14,25
5.363635,1.6368479,1.1670839,0.8939216,-0.4722338,0.05119566,-0.3265106,0.98300296,0.7579291,0.22770587,14-26,14,26
5.2216115,1.5782961,-0.7844002,0.92913866,-1.1783322,0.4506722,-0.12096814,1.1140106,0.6321981,0.3372809,14-27,14,27
5.2616367,1.64404,1.5101626,0.64740616,-0.94687027,0.38949773,-0.0022943753,1.1559821,0.40649313,0.59756696,14-28,14,28
5.070132,1.5533916,-0.77809954,0.7735306,-1.0238857,0.43026444,0.27656507,1.2245352,0.50143296,1.0034794,14-29,14,29
5.0793386,1.6048832,0.73130494,0.66415036,-0.090102695,-0.07971016,0.43032107,1.0958247,0.40349707,1.4212865,14-30,14,30
6.508239,-0.67021054,1.4039981,2.156242,0.2569613,-0.91677773,-0.49322948,0.66589594,1.7776649,0.5082145,15-10,15,10
6.3080306,-0.7765566,-0.9025303,2.130246,-0.85079825,-0.32278904,-0.6117521,0.58793247,1.6727525,0.06601203,15-11,15,11
6.3028536,-0.6885232,1.7972016,1.8489412,-0.6103742,-0.37799418,-0.6961299,0.6608093,1.7026694,-0.02735991,15-12,15,12
6.100201,-0.7931172,-0.6332298,1.8210888,-1.4153819,0.058128506,-0.43579274,0.71080625,1.3571354,0.25320742,15-13,15,13
6.104081,-0.70859253,1.9600941,1.4860439,-0.91541857,-0.049209215,-0.10097536,0.8789033,1.3641237,0.66658324,15-14,15,14
5.873886,-0.79427904,-0.43518448,1.6142675,-1.3318948,0.115154915,0.039613243,0.9522611,1.2718081,0.8643225,15-15,15,15
5.86089,-0.74620384,1.1292186,1.3509109,-0.24732596,-0.40959668,-0.084615655,0.6774931,1.4078124,0.7935275,15-16,15,16
5.6712127,-0.8370195,-1.1120449,1.4357338,-0.09468386,-0.56247824,-0.31004187,0.728495,1.4884737,0.57422066,15-17,15,17
5.6914163,-0.75852233,0.8577126,1.2920178,0.630599,-0.97251594,-0.56420165,0.611738,1.4658973,0.4132953,15-18,15,18
5.511252,-0.836192,-1.0710547,1.4690908,0.01723793,-0.6410311,-0.4593191,0.5316609,1.5417426,0.38176727,15-19,15,19
5.5261235,-0.76254106,1.1742762,1.1735446,0.25105742,-0.6724548,-0.48346868,0.5673985,1.6337951,0.34315005,15-20,15,20
5.344413,-0.85326594,-1.2818543,1.3205457,-0.18300766,-0.55827904,-0.284669,0.61791086,1.4491942,0.6161362,15-21,15,21
